timestamp, power.draw [W]
2026/07/17 17:43:15.492, 60.08 W
2026/07/17 17:43:16.492, 60.04 W
2026/07/17 17:43:17.492, 60.25 W
2026/07/17 17:43:18.492, 60.24 W
2026/07/17 17:43:19.492, 60.13 W
2026/07/17 17:43:20.492, 60.23 W
2026/07/17 17:43:21.493, 60.23 W
2026/07/17 17:43:22.493, 60.33 W
2026/07/17 17:43:23.493, 60.08 W
2026/07/17 17:43:24.493, 60.09 W
2026/07/17 17:43:25.493, 60.20 W
2026/07/17 17:43:26.493, 60.19 W
2026/07/17 17:43:27.493, 59.79 W
2026/07/17 17:43:28.493, 60.14 W
2026/07/17 17:43:29.494, 60.35 W
2026/07/17 17:43:30.494, 60.13 W
2026/07/17 17:43:31.494, 60.16 W
2026/07/17 17:43:32.494, 60.20 W
2026/07/17 17:43:33.494, 60.24 W
2026/07/17 17:43:34.494, 60.41 W
2026/07/17 17:43:35.494, 60.06 W
2026/07/17 17:43:36.494, 60.20 W
2026/07/17 17:43:37.494, 60.37 W
2026/07/17 17:43:38.494, 60.22 W
2026/07/17 17:43:39.494, 60.26 W
2026/07/17 17:43:40.495, 60.12 W
2026/07/17 17:43:41.495, 60.30 W
2026/07/17 17:43:42.495, 60.15 W
2026/07/17 17:43:43.495, 60.06 W
2026/07/17 17:43:44.495, 60.10 W
2026/07/17 17:43:45.495, 60.48 W
2026/07/17 17:43:46.495, 60.01 W
2026/07/17 17:43:47.495, 60.09 W
2026/07/17 17:43:48.495, 60.00 W
2026/07/17 17:43:49.495, 60.31 W
2026/07/17 17:43:50.495, 60.22 W
2026/07/17 17:43:51.495, 60.25 W
2026/07/17 17:43:52.496, 60.10 W
2026/07/17 17:43:53.496, 59.80 W
2026/07/17 17:43:54.496, 60.03 W
2026/07/17 17:43:55.496, 60.28 W
2026/07/17 17:43:56.496, 60.29 W
2026/07/17 17:43:57.496, 59.98 W
2026/07/17 17:43:58.496, 60.17 W
2026/07/17 17:43:59.496, 60.03 W
2026/07/17 17:44:00.496, 60.21 W
2026/07/17 17:44:01.496, 60.25 W
2026/07/17 17:44:02.497, 60.12 W
2026/07/17 17:44:03.497, 60.09 W
2026/07/17 17:44:04.497, 60.44 W
2026/07/17 17:44:05.497, 60.36 W
2026/07/17 17:44:06.497, 60.27 W
2026/07/17 17:44:07.497, 60.16 W
2026/07/17 17:44:08.497, 60.11 W
2026/07/17 17:44:09.497, 60.22 W
2026/07/17 17:44:10.498, 60.23 W
2026/07/17 17:44:11.498, 60.30 W
2026/07/17 17:44:12.498, 60.32 W
2026/07/17 17:44:13.498, 60.11 W
2026/07/17 17:44:14.498, 59.95 W
2026/07/17 17:44:15.498, 60.15 W
2026/07/17 17:44:16.498, 60.11 W
2026/07/17 17:44:17.499, 60.35 W
2026/07/17 17:44:18.499, 50.23 W
2026/07/17 17:44:19.499, 60.62 W
2026/07/17 17:44:20.499, 60.87 W
2026/07/17 17:44:21.499, 60.19 W
2026/07/17 17:44:22.499, 59.33 W
2026/07/17 17:44:23.499, 60.36 W
2026/07/17 17:44:24.499, 60.10 W
2026/07/17 17:44:25.500, 59.77 W
2026/07/17 17:44:26.500, 60.44 W
2026/07/17 17:44:27.500, 59.55 W
2026/07/17 17:44:28.500, 60.49 W
2026/07/17 17:44:29.500, 60.38 W
2026/07/17 17:44:30.500, 60.15 W
2026/07/17 17:44:31.500, 60.17 W
2026/07/17 17:44:32.500, 60.03 W
2026/07/17 17:44:33.500, 59.85 W
2026/07/17 17:44:34.501, 60.09 W
2026/07/17 17:44:35.501, 59.60 W
2026/07/17 17:44:36.501, 60.15 W
2026/07/17 17:44:37.501, 60.19 W
2026/07/17 17:44:38.501, 59.92 W
2026/07/17 17:44:39.501, 60.17 W
2026/07/17 17:44:40.501, 60.19 W
2026/07/17 17:44:41.501, 60.60 W
2026/07/17 17:44:42.502, 60.93 W
2026/07/17 17:44:43.502, 60.00 W
2026/07/17 17:44:44.502, 59.89 W
2026/07/17 17:44:45.502, 59.85 W
2026/07/17 17:44:46.502, 60.05 W
2026/07/17 17:44:47.502, 60.20 W
2026/07/17 17:44:48.502, 60.69 W
2026/07/17 17:44:49.503, 60.80 W
2026/07/17 17:44:50.503, 60.08 W
2026/07/17 17:44:51.503, 59.97 W
2026/07/17 17:44:52.503, 59.92 W
2026/07/17 17:44:53.503, 59.83 W
2026/07/17 17:44:54.503, 60.31 W
2026/07/17 17:44:55.503, 60.53 W
2026/07/17 17:44:56.503, 60.52 W
2026/07/17 17:44:57.504, 60.34 W
2026/07/17 17:44:58.504, 60.13 W
2026/07/17 17:44:59.504, 59.97 W
2026/07/17 17:45:00.504, 59.94 W
2026/07/17 17:45:01.504, 60.19 W
2026/07/17 17:45:02.504, 60.69 W
2026/07/17 17:45:03.504, 60.38 W
2026/07/17 17:45:04.504, 60.16 W
2026/07/17 17:45:05.504, 59.93 W
2026/07/17 17:45:06.505, 60.04 W
2026/07/17 17:45:07.505, 59.78 W
2026/07/17 17:45:08.505, 60.07 W
2026/07/17 17:45:09.505, 59.53 W
2026/07/17 17:45:10.505, 60.67 W
2026/07/17 17:45:11.505, 60.54 W
2026/07/17 17:45:12.505, 60.69 W
2026/07/17 17:45:13.505, 60.01 W
2026/07/17 17:45:14.505, 60.00 W
2026/07/17 17:45:15.506, 59.71 W
2026/07/17 17:45:16.506, 59.98 W
2026/07/17 17:45:17.506, 60.11 W
2026/07/17 17:45:18.506, 59.71 W
2026/07/17 17:45:19.506, 60.46 W
2026/07/17 17:45:20.506, 60.24 W
2026/07/17 17:45:21.506, 60.26 W
2026/07/17 17:45:22.506, 60.29 W
2026/07/17 17:45:23.507, 60.33 W
2026/07/17 17:45:24.507, 60.27 W
2026/07/17 17:45:25.507, 59.71 W
2026/07/17 17:45:26.507, 60.53 W
2026/07/17 17:45:27.507, 59.98 W
2026/07/17 17:45:28.507, 60.15 W
2026/07/17 17:45:29.507, 59.74 W
2026/07/17 17:45:30.507, 60.23 W
2026/07/17 17:45:31.508, 60.23 W
2026/07/17 17:45:32.508, 60.00 W
2026/07/17 17:45:33.508, 60.55 W
2026/07/17 17:45:34.508, 59.69 W
2026/07/17 17:45:35.508, 60.42 W
2026/07/17 17:45:36.508, 60.40 W
2026/07/17 17:45:37.508, 60.12 W
2026/07/17 17:45:38.509, 60.22 W
2026/07/17 17:45:39.509, 60.30 W
2026/07/17 17:45:40.509, 60.15 W
2026/07/17 17:45:41.509, 60.30 W
