timestamp, power.draw [W]
2026/07/24 12:20:22.774, 60.00 W
2026/07/24 12:20:23.774, 60.20 W
2026/07/24 12:20:24.774, 59.88 W
2026/07/24 12:20:25.774, 60.02 W
2026/07/24 12:20:26.774, 60.24 W
2026/07/24 12:20:27.774, 60.11 W
2026/07/24 12:20:28.774, 60.01 W
2026/07/24 12:20:29.774, 60.47 W
2026/07/24 12:20:30.775, 60.18 W
2026/07/24 12:20:31.775, 60.21 W
2026/07/24 12:20:32.775, 60.28 W
2026/07/24 12:20:33.775, 59.94 W
2026/07/24 12:20:34.775, 60.05 W
2026/07/24 12:20:35.775, 60.23 W
2026/07/24 12:20:36.775, 60.11 W
2026/07/24 12:20:37.775, 60.20 W
2026/07/24 12:20:38.775, 59.98 W
2026/07/24 12:20:39.776, 60.25 W
2026/07/24 12:20:40.776, 60.06 W
2026/07/24 12:20:41.776, 60.17 W
2026/07/24 12:20:42.776, 60.21 W
2026/07/24 12:20:43.776, 60.28 W
2026/07/24 12:20:44.776, 60.25 W
2026/07/24 12:20:45.776, 60.33 W
2026/07/24 12:20:46.776, 59.97 W
2026/07/24 12:20:47.776, 60.31 W
2026/07/24 12:20:48.776, 59.97 W
2026/07/24 12:20:49.777, 60.06 W
2026/07/24 12:20:50.777, 60.19 W
2026/07/24 12:20:51.777, 60.19 W
2026/07/24 12:20:52.777, 59.81 W
2026/07/24 12:20:53.777, 60.05 W
2026/07/24 12:20:54.777, 60.08 W
2026/07/24 12:20:55.777, 59.97 W
2026/07/24 12:20:56.777, 60.15 W
2026/07/24 12:20:57.777, 60.15 W
2026/07/24 12:20:58.777, 60.08 W
2026/07/24 12:20:59.777, 60.34 W
2026/07/24 12:21:00.777, 60.24 W
2026/07/24 12:21:01.778, 60.27 W
2026/07/24 12:21:02.778, 60.33 W
2026/07/24 12:21:03.778, 60.12 W
2026/07/24 12:21:04.778, 60.05 W
2026/07/24 12:21:05.778, 60.33 W
2026/07/24 12:21:06.778, 59.99 W
2026/07/24 12:21:07.778, 60.24 W
2026/07/24 12:21:08.778, 60.41 W
2026/07/24 12:21:09.778, 60.15 W
2026/07/24 12:21:10.778, 60.00 W
2026/07/24 12:21:11.778, 60.19 W
2026/07/24 12:21:12.779, 60.15 W
2026/07/24 12:21:13.779, 60.04 W
2026/07/24 12:21:14.779, 60.20 W
2026/07/24 12:21:15.779, 60.28 W
2026/07/24 12:21:16.779, 60.13 W
2026/07/24 12:21:17.779, 60.11 W
2026/07/24 12:21:18.779, 60.14 W
2026/07/24 12:21:19.779, 60.27 W
2026/07/24 12:21:20.779, 60.28 W
2026/07/24 12:21:21.780, 60.43 W
2026/07/24 12:21:22.780, 60.20 W
2026/07/24 12:21:23.780, 60.10 W
2026/07/24 12:21:24.780, 60.14 W
2026/07/24 12:21:25.780, 60.07 W
2026/07/24 12:21:26.780, 60.24 W
2026/07/24 12:21:27.780, 60.21 W
2026/07/24 12:21:28.780, 60.31 W
2026/07/24 12:21:29.780, 60.09 W
2026/07/24 12:21:30.781, 60.15 W
2026/07/24 12:21:31.781, 60.09 W
2026/07/24 12:21:32.781, 59.99 W
2026/07/24 12:21:33.781, 60.03 W
2026/07/24 12:21:34.781, 60.14 W
2026/07/24 12:21:35.781, 60.28 W
2026/07/24 12:21:36.781, 60.10 W
2026/07/24 12:21:37.781, 60.21 W
2026/07/24 12:21:38.781, 60.16 W
2026/07/24 12:21:39.782, 60.22 W
2026/07/24 12:21:40.782, 60.37 W
2026/07/24 12:21:41.782, 60.26 W
2026/07/24 12:21:42.782, 60.37 W
2026/07/24 12:21:43.782, 60.25 W
2026/07/24 12:21:44.782, 60.36 W
2026/07/24 12:21:45.782, 60.49 W
2026/07/24 12:21:46.782, 60.03 W
2026/07/24 12:21:47.782, 60.37 W
2026/07/24 12:21:48.782, 60.24 W
2026/07/24 12:21:49.783, 59.92 W
2026/07/24 12:21:50.783, 60.21 W
2026/07/24 12:21:51.783, 60.35 W
2026/07/24 12:21:52.783, 60.22 W
2026/07/24 12:21:53.783, 59.99 W
2026/07/24 12:21:54.783, 60.13 W
2026/07/24 12:21:55.783, 60.08 W
2026/07/24 12:21:56.783, 60.16 W
2026/07/24 12:21:57.783, 60.10 W
2026/07/24 12:21:58.783, 60.29 W
2026/07/24 12:21:59.784, 60.44 W
2026/07/24 12:22:00.784, 60.17 W
2026/07/24 12:22:01.784, 60.31 W
2026/07/24 12:22:02.784, 60.08 W
2026/07/24 12:22:03.784, 60.02 W
2026/07/24 12:22:04.784, 60.26 W
2026/07/24 12:22:05.784, 60.19 W
2026/07/24 12:22:06.784, 60.18 W
2026/07/24 12:22:07.784, 60.15 W
2026/07/24 12:22:08.785, 60.37 W
2026/07/24 12:22:09.785, 60.24 W
2026/07/24 12:22:10.785, 60.22 W
2026/07/24 12:22:11.785, 60.17 W
2026/07/24 12:22:12.785, 60.24 W
2026/07/24 12:22:13.785, 60.22 W
2026/07/24 12:22:14.785, 60.04 W
2026/07/24 12:22:15.785, 60.13 W
2026/07/24 12:22:16.785, 60.03 W
